,id,text,lemmas,pos
28,408906971073355776,а мне хотя бы расскажите что по чем,а я хотя бы рассказать что по чем,CONJ NPRO CONJ PRCL VERB CONJ PREP CONJ
29,408906972449492992,для тебя,для ты,PREP NPRO
30,408906974269833216,я по первому не смотрю поэтому качаю в инете найди группу в вк оттепель там думаю все серии есть,я по первый не смотреть поэтому качать в инет найти группа в вк оттепель там думать всё серия есть,NPRO PREP ADJF PRCL VERB ADVB VERB PREP NOUN VERB NOUN PREP None NOUN ADVB VERB PRCL NOUN INFN
31,408906974416220160,предвкушение потрясающего уикенда праздник света гулять ночи напролет и любоваться огнями,предвкушение потрясать уикенд праздник свет гулять ночь напролёт и любоваться огонь,NOUN PRTF NOUN NOUN NOUN INFN NOUN ADVB CONJ INFN NOUN
32,408907039847366656,я рааааааад ведь сегодня впереди вся ночь сериалы фильмы книга и кофе идеальная ночка,я рааааааад ведь сегодня впереди весь ночь сериал фильм книга и кофе идеальный ночка,NPRO NOUN PRCL ADVB ADVB ADJF NOUN NOUN NOUN NOUN CONJ NOUN ADJF NOUN
33,408907042120691712,списком надо всем гамузом,список надо весь гамуз,NOUN PRED ADJF NOUN
34,408907042154635264,электрогенератор изсостоек и не победим,электрогенератор изсостойка и не победить,NOUN NOUN CONJ PRCL VERB
35,408907042444042240,у меня нет фоток позже тогда кину,у я нет фотка поздний тогда кинуть,PREP NPRO PRED NOUN COMP ADVB VERB
36,408907042951143424,второй день подряд мне снятся сны с ромой я сошла с ума,второй день подряд я сниться сон с рома я сойти с ум,ADJF NOUN ADVB NPRO VERB NOUN PREP NOUN NPRO VERB PREP NOUN
37,408907043308068864,слушай коть можно я этим боком встану так лучше получается а у меня наоборот этот лучший человек,слушать коть можно я это боком встать так хороший получаться а у я наоборот этот хороший человек,VERB NOUN PRED NPRO NPRO ADVB VERB CONJ COMP VERB CONJ PREP NPRO ADVB ADJF ADJF NOUN
38,408907082340245504,почти в каждых пиратах рт неимоверно радует своими политическими позициями в отсутствии понимания и фактов,почти в каждый пират рт неимоверно радовать свой политический позиция в отсутствие понимание и факт,ADVB PREP ADJF NOUN NOUN ADVB VERB ADJF ADJF NOUN PREP NOUN NOUN CONJ NOUN
39,408907083409391616,оля ты очень добрая на самом деле а ты сучка злая бу на тебя да я та еще тварь заметь ты сама это сказала диалогивофисе люблю их,оля ты очень добрый на самый дело а ты сучка злой бу на ты да я тот ещё тварь заметить ты сам это сказать диалогивофис любить они,NOUN NPRO ADVB ADJF PREP ADJF NOUN CONJ NPRO NOUN ADJF None PREP NPRO PRCL NPRO ADJF PRCL NOUN VERB NPRO ADJF PRCL VERB NOUN VERB NPRO
40,408907084910977024,не иду завтра в школу первый раз мама так настойчиво не отпускала меня спасиибки,не идти завтра в школа первый раз мама так настойчиво не отпускать я спасиибка,PRCL VERB ADVB PREP NOUN ADJF ADVB NOUN CONJ ADVB PRCL VERB NPRO NOUN
41,408907085519544320,как же мне нравятся мужчины в строгих костюмах млею,как же я нравиться мужчина в строгий костюм млеть,CONJ PRCL NPRO VERB NOUN PREP ADJF NOUN VERB
42,408907086878109696,так это пушистая скотина тоже дрыхнет круглые сутки просыпается только чтоб поорать возле миски,так это пушистый скотина тоже дрыхнуть круглый сутки просыпаться только чтоб поорать возле миска,CONJ PRCL ADJF NOUN PRCL VERB ADJF NOUN VERB ADVB CONJ INFN PREP NOUN
43,408907125751312384,ахаха да нормээ с моим врачем мне ничего не страшно,ахах да нормээ с мой вракать я ничто не страшно,NOUN PRCL NOUN PREP ADJF VERB NPRO NPRO PRCL ADVB
44,408907127663886336,встречайте мои супер одногруппницы будущие историки искусства и моды большиеоригиналы попятницамносимчерное,встречать мой супер одногруппница будущий историк искусство и мода большиеоригинал попятницамносимчерный,VERB ADJF ADJF NOUN ADJF NOUN NOUN CONJ NOUN NOUN ADJF
45,408907129899077632,все я вас покидаю результаты гляну вечером биатлон,всё я вы покидать результат глянуть вечером биатлон,PRCL NPRO NPRO VERB NOUN VERB ADVB NOUN
46,408907183523659776,дыы но кто сказал что я все поняла ааххах,дыы но кто сказать что я всё понять аахха,None CONJ NPRO VERB CONJ NPRO PRCL VERB NOUN
47,408907183796260865,почти приехали в родное селенье москва рига,почти приехать в родной селение москва рига,ADVB VERB PREP ADJF NOUN NOUN NOUN
48,408907186572898304,на уй ваши канары и мальдивы тут новая тема проскочила,на уй ваш канары и мальдивы тут новый тема проскочить,PREP INTJ ADJF NOUN CONJ NOUN ADVB ADJF NOUN VERB
49,408907186933596160,а стояк теперь снова стояк вселенная вернула все на свои места,а стояк теперь снова стояк вселенная вернуть всё на свой место,CONJ NOUN ADVB ADVB NOUN NOUN VERB PRCL PREP ADJF NOUN
50,408907242331967488,прифетигг солныско каг тфаи дила мну сичас фф больниську идеть к логопеду,прифетигга солныско каг тфай дил мять сичас фф больниська идеть к логопед,NOUN ADVB None NOUN NOUN VERB NOUN None NOUN INFN PREP NOUN
51,408907244211040256,да нашла фоточку в иг и нагло спиздила ничего с фотографиями меня уже статусы в вконтакте бывают,да найти фоточка в иго и нагло спиздил ничто с фотография я уже статус в вконтакте бывать,PRCL VERB NOUN PREP NOUN CONJ ADVB NOUN NPRO PREP NOUN NPRO ADVB NOUN PREP NOUN VERB
52,408907244730712064,а у нас в нижнем слякотная погода брр но у нас офигенный привоз заходим заходим,а у мы в нижний слякотный погода брр но у мы офигенный привоз заходить заходить,CONJ PREP NPRO PREP ADJF ADJF NOUN INTJ CONJ PREP NPRO ADJF NOUN VERB VERB
53,408907244797829120,короче видимо ни в какой архитектурный я не иду там капец конечно,короче видимо ни в какой архитектурный я не идти там капец конечно,CONJ ADVB PRCL PREP ADJF ADJF NPRO PRCL VERB ADVB NOUN CONJ
54,408907245569572864,ну в сделаешь тогда я дарья а ты,ну в сделать тогда я дарья а ты,PRCL PREP VERB ADVB NPRO NOUN CONJ NPRO
55,408907299554463744,плак плак надеюсь на драфте тогда их вытяну,плак плак надеяться на драфт тогда они вытянуть,NOUN NOUN VERB PREP NOUN ADVB NPRO VERB
56,408907300569903104,а моя кроме поорать еще просится на балкон хвост поморозить минуту посидит и назад просится,а мой кроме поорать ещё проситься на балкон хвост поморозить минута посидеть и назад проситься,CONJ ADJF PREP INFN PRCL VERB PREP NOUN NOUN INFN NOUN VERB CONJ ADVB VERB
57,408907344433909760,каждому так болеть когда к тебе друзья в гости ходят,каждый так болеть когда к ты друг в гость ходить,ADJF CONJ INFN CONJ PREP NPRO NOUN PREP NOUN VERB
58,408907348644618240,мам мне так хреново выпей таблетку и на работу на следующей недели пойдем в сауну мама умеет поддержать и добавить стимула,мама я так хреновый выпить таблетка и на работа на следующий неделя пойти в сауна мама уметь поддержать и добавить стимул,NOUN NPRO CONJ ADJS VERB NOUN CONJ PREP NOUN PREP ADJF NOUN VERB PREP NOUN NOUN VERB INFN CONJ INFN NOUN
59,408907349433147392,тысячи это не так дорого для пальто лол т е пальто криса стоит меньше тыс рублей,тысяча это не так дорого для пальто лола так быть пальто крис стоить маленький тыс рубль,NOUN PRCL PRCL CONJ ADVB PREP NOUN NOUN ADVB VERB NOUN NOUN VERB COMP NOUN NOUN
60,408907350071050240,это так мило когда парни ставят на аву свои детские фотографии,это так мило когда парень ставить на ава свой детский фотография,PRCL CONJ ADVB CONJ NOUN VERB PREP NOUN ADJF ADJF NOUN
61,408907402163941376,опа дома никого помнишь что ты мне должен,опа дом никто помнить что ты я должный,None NOUN NPRO VERB CONJ NPRO NPRO ADJS
62,408907404169187328,наверное ну все равно приятно ахах я под столой вчера лежала,наверное ну всё равно приятно ахи я под стола вчера лежать,CONJ PRCL PRCL CONJ ADVB NOUN NPRO PREP NOUN ADVB VERB
63,408907405733670912,и работал а не как этот то потухнет то погаснет,и работать а не как этот то потухнуть то погаснуть,CONJ VERB CONJ PRCL CONJ ADJF CONJ VERB CONJ VERB
64,408907405871681537,лучше бы и то и другое кстати после сегодняшнего я кроху ненавижу еще больше,хороший бы и то и другой кстати после сегодняшний я кроха ненавидеть ещё большой,COMP PRCL CONJ CONJ CONJ ADJF CONJ PREP ADJF NPRO NOUN VERB PRCL COMP
65,408907447189790720,ох прям за год соскучилась чего забросила прекрасных мужчин не понимаю,ох прям за год соскучиться что забросить прекрасный мужчина не понимать,INTJ PRCL PREP NOUN VERB NPRO VERB ADJF NOUN PRCL VERB
66,408907447408287744,вышел прокатится через минут зашел назад весь мокрый дождь полил,выйти прокатиться через минута зайти назад весь мокрый дождь полить,VERB VERB PREP NOUN VERB ADVB ADJF ADJF NOUN VERB
67,408907449794433024,а что за татуировка у тебя фото в студию,а что за татуировка у ты фото в студия,CONJ CONJ PREP NOUN PREP NPRO NOUN PREP NOUN
68,408907451262459904,ого надо будет так попробовать с следующий раз,ого надо быть так попробовать с следующий раз,INTJ PRED VERB CONJ INFN PREP ADJF ADVB
69,408907489325772800,ахахаха я тоже сегодня полдня играла в обломова примерно до полчетвертого,ахахах я тоже сегодня полдень играть в обломов примерно до полчетвертого,NOUN NPRO PRCL ADVB NOUN VERB PREP NOUN ADVB PREP NOUN
70,408907492530589696,ого на кинопоиске сделали саундтреки а я и не знала очень удобнено,ого на кинопоиск сделать саундтрек а я и не знать очень удобнить,INTJ PREP NOUN VERB NOUN CONJ NPRO CONJ PRCL VERB ADVB PRTS
71,408907543679758336,весь мой тви теперь будет наполнен долгожданным снегом из года в год он меня бросает,весь мыть тви теперь быть наполнить долгожданный снег из год в год он я бросать,ADJF VERB None ADVB VERB PRTS ADJF NOUN PREP NOUN PREP NOUN NPRO NPRO VERB
72,408907543948570624,а еще я просрала кравченко все метры и теперь она хуй в инстаграмм зайдет,а ещё я просрало кравченко всё метр и теперь она хуй в инстаграмм зайти,CONJ PRCL NPRO NOUN NOUN PRCL NOUN CONJ ADVB NPRO NOUN PREP NOUN VERB
73,408907546393866240,лежу в кровати закуталась еще бы вкусняшек кто нибудь принес,лежать в кровать закутаться ещё бы вкусняшка кто нибыть принести,VERB PREP NOUN VERB PRCL PRCL NOUN NPRO VERB VERB
74,408907547639169026,давай воронеж тебя ждет с распростертыми объятиями,давать воронеж ты ждать с распростереть объятие,VERB NOUN NPRO VERB PREP PRTF NOUN
75,408907548268306432,сижу смотрю с братиком гадкий я всем добра,сидеть смотреть с братик гадкий я весь добро,VERB VERB PREP NOUN ADJF NPRO ADJF NOUN
76,408907586361360384,едем по мосту со скоростью км ч под донт вори доставило,ехать по мост с скорость км ч под донт воря доставить,VERB PREP NOUN PREP NOUN NOUN NOUN PREP NOUN NOUN VERB
77,408907589142200320,ахахахха прости но я немного занят в следующий раз обязательно покажешь всеееех,ахахахха простить но я немного занятый в следующий раз обязательно показать всеееех,NOUN VERB CONJ NPRO ADVB ADJS PREP ADJF ADVB ADVB VERB NOUN
78,408907589234462720,перемен ждала и дождалась теперь буду ждать лето,перемена ждать и дождаться теперь быть ждать лето,NOUN VERB CONJ VERB ADVB VERB INFN NOUN
79,408907589347340288,день выдался удачным я ожидала худшего но у меня даже настроение отличное и это несмотря на то что я ночью меньше часов проспала,день выдаться удачный я ожидать плохой но у я даже настроение отличный и это несмотря на то что я ночью маленький часы проспать,NOUN VERB ADJF NPRO VERB ADJF CONJ PREP NPRO PRCL NOUN ADJF CONJ PRCL PREP PREP CONJ CONJ NPRO ADVB COMP NOUN VERB
80,408907589658091520,дааа так что приезжай загорать и сразу на чай этажом выше,дааа так что приезжать загорать и сразу на чай этаж выше,NOUN CONJ CONJ VERB INFN CONJ ADVB PREP NOUN NOUN ADVB
81,408907645480083456,очень нравятся ваши песни андрей успехов вам,очень нравиться ваш песня андрей успех вы,ADVB VERB ADJF NOUN NOUN NOUN NPRO
82,408907646679273472,айгуль маратовна сколько за ппт из из спасибо за щедрость ну тебе же надо заканчивать уже вот это человечность,айгуль маратович сколько за ппт из из спасибо за щедрость ну ты же надо заканчивать уже вот это человечность,NOUN NOUN CONJ PREP None PREP PREP INTJ PREP NOUN PRCL NPRO PRCL PRED INFN ADVB PRCL PRCL NOUN
83,408907647417475072,радостных выходных с помощью,радостный выходной с помощь,ADJF ADJF PREP NOUN
84,408907693521240064,классная позвала в клуб мммммммм очень интересно ахахаххаха,классный позвать в клуб мммммммм очень интересно ахахаххах,ADJF VERB PREP NOUN NOUN ADVB ADVB NOUN
85,408907693811068928,ой начинается апреля весна становится все интереснее,ой начинаться апрель весна становиться всё интересный,INTJ VERB NOUN NOUN VERB PRCL COMP
86,408907693848793088,опять что ли подозреваешь ну как для чего что бы знать насколько в разных городах живем,опять что ли подозревать ну как для что что бы знать насколько в разный город жить,ADVB CONJ PRCL VERB PRCL CONJ PREP NPRO CONJ PRCL INFN ADVB PREP ADJF NOUN VERB
87,408907694397849600,что уже все обломались с твитером скучно тут стало или что,что уже всё обломаться с твитер скучно тут стать или что,CONJ ADVB PRCL VERB PREP NOUN ADVB ADVB VERB CONJ CONJ
88,408907696222371841,оно ты не смотрела ты любишь клоунов,оно ты не смотреть ты любить клоун,NPRO NPRO PRCL VERB NPRO VERB NOUN
89,408907731459137536,наш девиз и тут остапа понесло никогда не заканчиваем спикинг вовремя,наш девиз и тут остап понести никогда не заканчивать спикинг вовремя,ADJF NOUN CONJ ADVB NOUN VERB ADVB PRCL VERB NOUN ADVB
90,408907732289597440,дежурить с хомой и саней ахуенно ибо нихуя не делаешь весело люблю их,дежурить с хома и сани ахуенно ибо нихуй не делать весело любить они,INFN PREP NOUN CONJ NOUN ADVB CONJ NOUN PRCL VERB ADVB VERB NPRO
91,408907735661805568,говорят что сейчас на такие портфели мода в городе правда,говорить что сейчас на такой портфель мода в город правда,VERB CONJ ADVB PREP ADJF NOUN NOUN PREP NOUN PRCL
92,408907777336438784,ые пришли я опять запредельно радуюсь часы черного цвета это двойная радость мояпрелесть,ые прислать я опять запредельно радоваться часы чёрный цвет это двойной радость мояпрелесть,None VERB NPRO ADVB ADVB VERB NOUN ADJF NOUN PRCL ADJF NOUN NOUN
93,408907779379048448,это он любит прикольно было бы наверное по мкаду на лыжах км ч шпарить,это он любить прикольно быть бы наверное по мкад на лыжа км ч шпарить,PRCL NPRO VERB ADVB VERB PRCL CONJ PREP NOUN PREP NOUN NOUN NOUN INFN
94,408907779588784128,ахах тут еще у одной девочки фамилия тимофеева была,ахи тут ещё у один девочка фамилия тимофеев быть,NOUN ADVB PRCL PREP ADJF NOUN NOUN NOUN VERB
95,408907779630698496,пальцы совсем отвыкли от гитары а та даже практически не расстроена,палец совсем отвыкнуть от гитара а тот даже практически не расстроить,NOUN ADVB VERB PREP NOUN CONJ ADJF PRCL ADVB PRCL PRTS
96,408907780972498944,в классе будет учиться на радость англичанке нашей,в класс быть учиться на радость англичанка наш,PREP NOUN VERB INFN PREP NOUN NOUN ADJF
97,408907827353108482,ты все время работаешь нееет а в какие дни ты свободна во все кроме пн вт ср чт пт сб вс эмм,ты всё время работать нееет а в какой день ты свободный в всё кроме пн вт сравнить чт пт сб вс эмма,NPRO PRCL NOUN VERB None CONJ PREP ADJF NOUN NPRO ADJS PREP PRCL PREP NOUN NOUN VERB NOUN NOUN NOUN NOUN NOUN
98,408907828162613248,ясно у меня сердце заходилось когда объявляли номинантов как будто я сама лично участвую,ясно у я сердце заходиться когда объявлять номинант как будто я сам лично участвовать,ADVB PREP NPRO NOUN VERB CONJ VERB NOUN CONJ CONJ NPRO ADJF ADVB VERB
99,408907828192350208,получается осторожно котлетку перекладываю в др посуду,получаться осторожно котлетка перекладывать в др посуда,VERB ADVB NOUN VERB PREP NOUN NOUN
100,408907828720463872,единственное что меня расстраивает на бали невозможность сходить в кинотеатр с друзьями на интересный фильм,единственный что я расстраивать на бали невозможность сходить в кинотеатр с друг на интересный фильм,ADJF CONJ NPRO VERB PREP NOUN NOUN INFN PREP NOUN PREP NOUN PREP ADJF NOUN
101,408907829001465856,базарнов сегодня спрашивал чем лучше сушиться парень весит всего кг где то ахаха но он сказал что ему уже пора лол,базарнов сегодня спрашивать чем хороший сушиться парень весить всего кг где то ахах но он сказать что он уже пора лола,NOUN ADVB VERB CONJ COMP INFN NOUN VERB ADVB NOUN ADVB CONJ NOUN CONJ NPRO VERB CONJ NPRO ADVB NOUN NOUN
102,408907829643587584,маловато получается лучше незлобин тогда,маловатый получаться хороший незлобин тогда,ADJS VERB COMP NOUN ADVB
103,408907874812063744,я люблю тебя со всеми твоими истериками солнышко,я любить ты с весь твой истерик солнышко,NPRO VERB NPRO PREP ADJF ADJF NOUN NOUN
104,408907878192656384,урааа вот я же говорила,урааа вот я же говорить,NOUN PRCL NPRO PRCL VERB
105,408907934458859520,все свое ношу с собой хорошая штука все же кто еще не в теме регистрируемся и получаем бонус,всё свой носить с себя хороший штука всё же кто ещё не в тема регистрироваться и получать бонус,PRCL ADJF VERB PREP NPRO ADJF NOUN PRCL PRCL NPRO PRCL PRCL PREP NOUN VERB CONJ VERB NOUN
106,408907934681145344,лента до сих пор не может угомониться с этим ай эм голос похож на билла соглашусь но бл как так они написали сразу раста песню,лента до сей пора не мочь угомониться с это ай эм голос похожий на билл согласиться но бл как так они написать сразу раста песня,NOUN PREP ADJF NOUN PRCL VERB INFN PREP NPRO INTJ NOUN NOUN ADJS PREP NOUN VERB CONJ None CONJ CONJ NPRO VERB ADVB NOUN NOUN
107,408907936036298752,дизайнер с большой буквы за дней белые носки становятся черными проходя оттенков серого,дизайнер с большой буква за день белые носка становиться чёрный проходить оттенок серый,NOUN PREP ADJF NOUN PREP NOUN NOUN NOUN VERB ADJF GRND NOUN ADJF
108,408907936178532353,кама совести у тебя нет как ты не почувствовала такое,кама совесть у ты нет как ты не почувствовать такой,NOUN NOUN PREP NPRO PRED CONJ NPRO PRCL VERB ADJF
109,408908012750118912,цена на билет на квн на сегодняшний финал от на балконе камызяки,цена на билет на квн на сегодняшний финал от на балкон камызяк,NOUN PREP NOUN PREP NOUN PREP ADJF NOUN PREP PREP NOUN NOUN
110,408908013836062720,да вот и получается что хоть и москвичи а все как по понятиям привыкли так только и могут позорище еще и начальство вызывают,да вот и получаться что хоть и москвич а всё как по понятие привыкнуть так только и мочь позорище ещё и начальство вызывать,PRCL PRCL CONJ VERB CONJ PRCL CONJ NOUN CONJ PRCL CONJ PREP NOUN VERB CONJ ADVB CONJ VERB NOUN PRCL CONJ NOUN VERB
111,408908014536499200,такой снежок идет мммм на улице просто волшебно,такой снежок идти мммм на улица просто волшебно,ADJF NOUN VERB NOUN PREP NOUN PRCL ADVB
112,408908014612013056,мой комп не выдерживает такого напора фоток от соколовскийяхочутебя,мыть комп не выдерживать такой напор фотка от соколовскийяхочутести,VERB NOUN PRCL VERB ADJF NOUN NOUN PREP GRND
113,408908014721458176,такая вот моя будущая работа дигистировать балык товароведы,такой вот мой будущий работа дигистировать балык товаровед,ADJF PRCL ADJF ADJF NOUN INFN NOUN NOUN
114,408908076503535616,интересно а почему ставит в своих топиках когда там начинают общаться люди,интересно а почему ставить в свой топика когда там начинать общаться человек,ADVB CONJ ADVB VERB PREP ADJF NOUN CONJ ADVB VERB INFN NOUN
115,408908076541296640,да не я лучше тихо буду пялиться на них,да не я хороший тихо быть пялиться на они,PRCL PRCL NPRO COMP ADVB VERB INFN PREP NPRO
116,408908079326318592,такое ощущение что я очень стар ох как это было давно,такой ощущение что я очень старый ох как это быть давно,ADJF NOUN CONJ NPRO ADVB ADJS INTJ CONJ PRCL VERB ADVB
117,408908079833432064,юля знает куда мы соберемся поехать когда ей стукнет,юля знать куда мы собраться поехать когда она стукнуть,NOUN VERB PRCL NPRO VERB INFN CONJ NPRO VERB
118,408908080017965056,жаль что только в году снова опоздаем,жаль что только в год снова опоздать,PRED CONJ ADVB PREP NOUN ADVB VERB
119,408908137111228416,я попиздил патихардит ухахах хз во сколько вернусь надеюсь в час всем удачного времяпровождения,я попиздить патихардит ухахи хз в сколько вернуться надеяться в час весь удачный времяпровождение,NPRO VERB NOUN NOUN None PREP CONJ VERB VERB PREP NOUN ADJF ADJF NOUN
120,408908137144803328,теперь я знаю страшную тайну зачем у монитора ножка имеет круглую основу,теперь я знать страшный тайна зачем у монитор ножка иметь круглый основа,ADVB NPRO VERB ADJF NOUN ADVB PREP NOUN NOUN VERB ADJF NOUN
121,408908138348564480,ааа точно спасибо,ааа точно спасибо,INTJ ADVB INTJ
122,408908138381713408,да да так все и будет кто где вечером,да да так всё и быть кто где вечером,PRCL PRCL CONJ PRCL CONJ VERB NPRO ADVB ADVB
123,408908138453422080,они там уже год но недавно в версии для пк они по другому показываться стали,они там уже год но недавно в версия для пк они по другой показываться стать,NPRO ADVB ADVB NOUN CONJ ADVB PREP NOUN PREP NOUN NPRO PREP ADJF INFN VERB
124,408908174234628096,влюбляешься автоматически классные слова,влюбляться автоматически классный слово,VERB ADVB ADJF NOUN
125,408908174918709249,очень но все говорят что не очень можно на нг придти,очень но всё говорить что не очень можно на нг прийти,ADVB CONJ PRCL VERB CONJ PRCL ADVB PRED PREP NOUN INFN
126,408908175392247808,значит тебя не интересует то что люди читающие тебя тоже смотрят этот сериал и им не очень то приятно читать спойлеры,значит ты не интересовать то что человек читать ты тоже смотреть этот сериал и они не очень то приятно читать спойлер,CONJ NPRO PRCL VERB CONJ CONJ NOUN PRTF NPRO PRCL VERB ADJF NOUN CONJ NPRO PRCL ADVB CONJ ADVB INFN NOUN
127,408908177107730432,почему мы с медалью походу тьфу тьфу,почему мы с медаль поход тьфу тьфу,ADVB NPRO PREP NOUN NOUN INTJ INTJ
128,408908177301053440,как и обещал действительно какие времена были,как и обещать действительно какой время быть,CONJ CONJ VERB ADVB ADJF NOUN VERB
129,408908178072821760,вот как любит зиму сам эффекты добавил,вот как любить зима сам эффект добавить,PRCL CONJ VERB NOUN ADJF NOUN VERB
